Tokens:

Digital				'd{d} | d{d}.{d}'
Whitespace 			' '
Plus				'+'
Minus				'-'
Multiply			'*'
Divide				'/'
Power				'^'
Incrementation		'++'
Decrementation		'--'
Colon				':'
DoubleColon			'::'
Semicolon			';'
Comma				','
LBracket			'('
RBracket			')'
LSquareBracket    	'['
RSquareBracket		']'
LCurlyBracket		'{'
RCurlyBracket		'}'
Hash				'#'
Equal				'='
NotEqual			'!='
LowerGreater		'<>'
Lower 				'<'
Greater 			'>'
LowerEqual			'<='
GreaterEqual		'>='
At					'@'
Umpersant			'&'
QuestionMark		'?'
ExclamationMark		'!'
Underscore			'_'
Percent				'%'
Dollar				'$'
Apostrophe			"'"
Backspace			'\b'
Enter				'\n'
Tab					'\t'
Void 				'void'
Const				'const'
Char				'char'
Integer				'int'
Short				'short'
Long 				'long'
Double				'double'
Float				'float'
String				'String'
Bool				'bool'
False				'false'
True				'true'
If					'if'
Else				'else'
For					'for'
While				'while'
Do 					'do'
Continue			'continue'
Break				'break'
Switch				'switch'
Case				'case'
Goto				'goto'
Using 				'using'
Namespace			'namespace'
Public				'public'
Protected			'proteced'
Private				'private'
New					'new'
Class				'class'
This				'this'
Return				'return'
Enum				'enum'
Sizeof				'sizeof'
Static				'static'
Auto				'auto'
Struct				'struct'
Typedef				'typedef'
Default				'default'
Unsigned			'unsigned'
Signed				'signed'
Try					'try'
Catch				'catch'
Throw				'throw'
Export				'export'

* legend:
	d - digit
	{} - 0 or more occurrence
